name,pop,species
266,MtClemens,suavis
269,MtClemens,suavis
279,MtClemens,suavis
283,MtClemens,suavis
286,MtClemens,suavis
587,MtClemens,suavis
588,MtClemens,suavis
589,MtClemens,suavis
590,MtClemens,suavis
595,MtClemens,suavis
596,MtClemens,suavis
598,MtClemens,suavis
599,MtClemens,suavis
600,MtClemens,suavis
601,MtClemens,suavis
862,MtClemens,suavis
863,MtClemens,suavis
864,MtClemens,suavis
865,MtClemens,suavis
866,MtClemens,suavis
336,Lawrence,suavis
338,Lawrence,suavis
555,Lawrence,suavis
556,Lawrence,suavis
558,Lawrence,suavis
566,Lawrence,suavis
567,Lawrence,suavis
572,Lawrence,suavis
573,Lawrence,suavis
575,Lawrence,suavis
576,Lawrence,suavis
577,Lawrence,suavis
578,Lawrence,suavis
582,Lawrence,suavis
872,Lawrence,suavis
873,Lawrence,suavis
875,Lawrence,suavis
877,Lawrence,suavis
879,Lawrence,suavis
880,Lawrence,suavis
1203,Urbana,suavis
1204,Urbana,suavis
1205,Urbana,suavis
1206,Urbana,suavis
1207,Urbana,suavis
1208,Urbana,suavis
1210,Urbana,suavis
1211,Urbana,suavis
1212,Urbana,suavis
1213,Urbana,suavis
1214,Urbana,suavis
1216,Urbana,suavis
1217,Urbana,suavis
1218,Urbana,suavis
1219,Urbana,suavis
1220,Urbana,suavis
1222,Urbana,suavis
1223,Urbana,suavis
1224,Urbana,suavis
1227,Urbana,suavis
439,Oklahoma,completa
440,Oklahoma,completa
441,Oklahoma,completa
442,Oklahoma,completa
443,Oklahoma,completa
444,Oklahoma,completa
447,Oklahoma,completa
448,Oklahoma,completa
449,Oklahoma,completa
451,Oklahoma,completa
452,Oklahoma,completa
453,Oklahoma,completa
454,Oklahoma,completa
455,Oklahoma,completa
456,Oklahoma,completa
457,Oklahoma,completa
464,Oklahoma,completa
666,Oklahoma,completa
669,Oklahoma,completa
670,Oklahoma,completa
380,Sacramento,completa
383,Sacramento,completa
385,Sacramento,completa
386,Sacramento,completa
388,Sacramento,completa
389,Sacramento,completa
390,Sacramento,completa
391,Sacramento,completa
392,Sacramento,completa
393,Sacramento,completa
394,Sacramento,completa
395,Sacramento,completa
400,Sacramento,completa
401,Sacramento,completa
402,Sacramento,completa
608,Sacramento,completa
610,Sacramento,completa
611,Sacramento,completa
612,Sacramento,completa
613,Sacramento,completa
297,Lawrence,completa
299,Lawrence,completa
301,Lawrence,completa
305,Lawrence,completa
306,Lawrence,completa
309,Lawrence,completa
312,Lawrence,completa
313,Lawrence,completa
315,Lawrence,completa
317,Lawrence,completa
319,Lawrence,completa
323,Lawrence,completa
