name,pop,species
266,MtClemens,suavis
588,MtClemens,suavis
590,MtClemens,suavis
595,MtClemens,suavis
596,MtClemens,suavis
600,MtClemens,suavis
566,KU,suavis
567,KU,suavis
573,KU,suavis
575,KU,suavis
582,KU,suavis
1205,Urbana,suavis
1207,Urbana,suavis
1210,Urbana,suavis
1214,Urbana,suavis
1217,Urbana,suavis
1227,Urbana,suavis
442,Edmond,completa
447,Edmond,completa
449,Edmond,completa
380,Sacramento,completa
386,Sacramento,completa
388,Sacramento,completa
389,Sacramento,completa
391,Sacramento,completa
392,Sacramento,completa
297,KU,completa
299,KU,completa
301,KU,completa
305,KU,completa
306,KU,completa
309,KU,completa
317,KU,completa
319,KU,completa
323,KU,completa
564,KU,completa
583,KU,completa
585,KU,completa
465,Chiricahuas,juglandis
466,Chiricahuas,juglandis
467,Chiricahuas,juglandis
472,Chiricahuas,juglandis
481,Chiricahuas,juglandis
485,Chiricahuas,juglandis
358,Sacramento,juglandis
360,Sacramento,juglandis
363,Sacramento,juglandis
364,Sacramento,juglandis
365,Sacramento,juglandis
366,Sacramento,juglandis
370,Sacramento,juglandis
371,Sacramento,juglandis
379,Sacramento,juglandis
868,Sacramento,juglandis
1,Nuevo Leon,cingulata
5,Nuevo Leon,cingulata
21,Nuevo Leon,cingulata
6,Jeffs house,cingulata
495,Chiricahuas,boycei
497,Chiricahuas,boycei
499,Chiricahuas,boycei
505,Chiricahuas,boycei
507,Chiricahuas,boycei
508,Chiricahuas,boycei
512,Chiricahuas,boycei
521,Chiricahuas,boycei
523,Chiricahuas,boycei
524,Chiricahuas,boycei
622,Globe,boycei
1099,Globe,boycei
1112,Globe,boycei
530,Oak,boycei
531,Oak,boycei
532,Oak,boycei
535,Oak,boycei
548,Oak,boycei
551,Oak,boycei
1146,Oak,boycei
1313,Taxco,ramosae
9,Jeffs house,cingulata
10,Jeffs house,cingulata
11,Jeffs house,cingulata
12,Jeffs house,cingulata
13,Jeffs house,cingulata
14,Jeffs house,cingulata
17,Jeffs house,cingulata
18,Jeffs house,cingulata?
19,Nuevo Leon,cingulata
1176,Acajete,zoqui
1182,Acajete,zoqui
1185,Acajete,zoqui
1186,Acajete,zoqui
1187,Acajete,zoqui
1188,Acajete,zoqui
1196,Acajete,zoqui
1199,Acajete,zoqui
1200,Acajete,zoqui
1201,Acajete,zoqui
1202,Acajete,zoqui
1234,Briones,zoqui
1241,Briones,zoqui
1252,Guadalcazor,zoqui
1253,Guadalcazor,zoqui
1255,Guadalcazor,zoqui
1259,Guadalcazor,zoqui
1261,Guadalcazor,zoqui
1263,Guadalcazor,zoqui
1267,Guadalcazor,zoqui
54,Acahuales,comXzoq
55,Acahuales,comXzoq
1424,Taxco,ramosae
1440,McNarey,boycei
1498,Prescott,boycei
1523,Prescott,boycei
1526,Urbana,suavis
1527,Urbana,suavis
1531,Urbana,suavis
1539,Urbana,suavis
1540,Urbana,suavis
1544,Lansing,suavis
1572,Lansing,suavis
1741,McNarey,boycei
1743,McNarey,boycei
1745,McNarey,boycei
1749,McNarey,boycei
1751,McNarey,boycei
1752,McNarey,boycei
1753,McNarey,boycei
1754,McNarey,boycei
1756,McNarey,boycei
1757,McNarey,boycei
1759,McNarey,boycei
1765,McNarey,boycei
1773,Chiricahuas,boycei
1774,Chiricahuas,boycei
1777,Chiricahuas,boycei
1781,Chiricahuas,boycei
1782,Chiricahuas,boycei
1790,Chiricahuas,juglandis
1792,Chiricahuas,juglandis
1793,Chiricahuas,juglandis
1796,Chiricahuas,juglandis
1800,Chiricahuas,juglandis
2014,Urbana,suavis
2016,Urbana,suavis
2020,Urbana,suavis
2023,SlideRock,juglandis
2026,SlideRock,juglandis
2030,SlideRock,juglandis
2031,SlideRock,juglandis
2043,SlideRock,juglandis
2054,Edmond,completa
2055,Edmond,completa
2056,Edmond,completa
2059,Edmond,completa
2060,Edmond,completa
2061,Edmond,completa
2064,Edmond,completa
2065,Edmond,completa
2070,Edmond,completa
2071,Edmond,completa
2072,Edmond,completa
2074,Edmond,completa
2075,Edmond,completa
2077,Edmond,completa
2079,Mayhill,completa
2080,Mayhill,completa
2081,Mayhill,completa
2083,Mayhill,completa
2084,Mayhill,completa
2085,Mayhill,completa
2086,Mayhill,completa
2089,Mayhill,completa
2090,Mayhill,completa
2091,Mayhill,completa
2092,Mayhill,completa
2093,Mayhill,completa
2094,Mayhill,completa
2097,Mayhill,juglandis
2102,Mayhill,juglandis
2104,Mayhill,juglandis
2105,Mayhill,juglandis
2106,Mayhill,juglandis
2109,Mayhill,juglandis
2110,Mayhill,juglandis
2111,Mayhill,juglandis
2112,Mayhill,juglandis
2113,Mayhill,juglandis
2114,Mayhill,juglandis
2115,Mayhill,juglandis
2116,Mayhill,juglandis
2118,Mayhill,juglandis
2120,Mayhill,juglandis
2127,KU,suavis
2128,KU,suavis
2129,KU,completa
2130,KU,suavis
2131,KU,suavis
2132,KU,suavis
2134,KU,suavis
2138,KU,suavis
2139,KU,suavis
2140,KU,suavis
2141,KU,suavis
2148,KU,completa
2149,KU,completa
2150,KU,completa
2152,KU,completa
2153,KU,completa
2154,KU,completa
2155,KU,completa
2158,KU,completa
2159,KU,completa
2161,KU,completa
2162,KU,completa
2163,KU,completa
2164,KU,completa
2165,KU,completa
2166,KU,suavis
2167,KU,suavis
2168,KU,suavis
2169,KU,suavis
2172,KU,suavis
