oldID	species	pop	newID
HS51	cingulata	cherry	1
HS.52	cingulata	cherry	2
HS.53	cingulata	cherry	3
HS.54	cingulata	cherry	4
HS.55	cingulata	cherry	5
HS42	cingulata	cherry	6
HS57	cingulata	cherry	7
HS50	cingulata	cherry	8
HS38	cingulata	cherry	9
HS39.	cingulata	cherry	10
HS40.	cingulata	cherry	11
HS41	cingulata	cherry	12
HS42.	cingulata	cherry	13
HS43.	cingulata	cherry	14
HS.44.	cingulata	cherry	15
HS.45	cingulata	cherry	16
HS.46.	cingulata	cherry	17
HS.47	cingulata	cherry	18
HS.48	cingulata	cherry	19
SPE..386	cingulata	cherry	20
SPE.397	cingulata	cherry	21
